wkt_geom,data_Bridge Name,data_Private Bridge?,data_Bridge Number According to Zucchetta,data_Name of Northern Sestiere,data_Name of Southern Sestiere,data_Minimum Step Width (m),data_Northern Island Number,data_Southern Island Number,Same Island?,birth_certificate_birthID,birth_certificate_ckID,birth_certificate_dob,birth_certificate_dor,birth_certificate_lat,birth_certificate_lon,birth_certificate_parentID,birth_certificate_recorder,birth_certificate_type,data_Additional Handrail?,data_Address,data_Address Letter,data_Arch Style,data_Arch Style Code,data_Average Height (m),data_Average Height of Railing (m),data_Average railing width (cm),data_Bridge Code,data_Canal Crossed,data_Canal Width (m),data_Central Thickness (m),data_Code for Material of Step Face,data_Code for railing type,data_Code for the material of the rail,data_Conditions of the Step Face,data_Construction Material,data_Construction Material Code,data_Crooked Bridge?,data_Date of Last Restoration,data_Date of Survey,data_Decorations,data_Description of Step Face Conditions,data_Estimated Surface Area,data_Face Material,data_Full Width Including Railings (m),data_H-C,data_H-N2,data_H-S2,data_Handicapped Accessible?,data_Height 1m North (m),data_Height 1m South (m),data_Height Center (m),data_Height of Step (cm),data_History,data_Hypotenuse North (deg),data_Hypotenuse South (deg),data_ID,data_Inclination North (deg),data_Inclination South (deg),data_Latitude,data_Length of Summit (m),data_Longitude,data_Material Code of Summit Pavement,data_Material of Summit Pavement,data_Maximum Inclination (deg),data_Minimum Height (m),data_Minimum Thickness (m),data_N Cathetus (deg),data_Net Width of Bridge (m),data_Northern Sestiere Code,data_Notes,data_Number of Arches,data_Number of Northern Steps,data_Number of Ramps,data_Number of Southern Steps,data_Number of Street Address On Bridge,data_Numerical Condition of Bridge,data_Numerical Condition of Decorations,data_Numerical Condition of Step Pavement Material,data_Numerical Condition of Summit Pavement,data_Photo Number of Arch,data_Photo Number of Ramp,data_Photo Number of Reference Elevation Point,Private?,data_Protrusion North (m),data_Protrusion South (m),data_Qualitative Condition of Bridge,data_Qualitative Condition of Decorations,data_Qualitative Condition of Step Pavement Material,data_Qualitative Condition of Summit Pavement,data_Qualitative condition of Railing,data_Railing Material,data_Railing condition,data_Ratio of Span to Height,data_Reference to CAD Drawings,data_S Cathetus (deg),data_SE-C,data_SE-N1,data_SE-N2,data_SE-S1,data_SE-S2,data_SI-C,data_SI-N1,data_SI-N2,data_SI-S1,data_SI-S2,data_Segment Code,data_Southern Sestiere Code,data_Span (m),data_Step Depth (cm),data_Step Pavement Material,data_Step Surface (Min),data_Street Addresses on Bridge,data_Surface Area From Map,data_Surface Area of Summit (m^2),data_Survey Incomplete?,data_Thickness 1m North Of Center (m),data_Thickness 1m South of Center (m),data_Thickness 2m North Of Center (m),data_Thickness 2m South of Center (m),data_Tide Level (m),data_Time of Survey (24:00),data_Total Number of Steps,data_Total Surface Area of Pavement (m^2),data_Total Surface Area of Steps (m^2),data_Tread Material,data_Type of Railing,data_Water level (cm),data_Width of Eastern Railing (cm),data_Width of Summit (m),data_Width of Western Railing (cm),data_Year Constructed,data_Year of Last Restoration
Point (12.31970420000000033 45.43715110000000124),Ponte Cossetti,FALSE,273,Santa Croce,Santa Croce,1.69,36,36,1,COSSET,09bb8c99-25d8-0cd2-35fb-090418a67544,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4371511,12.3197042,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.49,0.92,25,COSSET,Rio de Sant'Andrea de la Zirada,7.83,0.44,2,1,1,3,Mattoni,1,FALSE,01-Jan-80,06-Mar-00,Targhe in pietra d'Istria,Buone,17.44,Pietra d'Istria,2.19,3.36,3.35,3.35,FALSE,2.43,2.47,2.58,15.5,"to S. Andrea, at the ""Three Bridges."" Read 'Bunks', as taught by one of the two plaques placed on the sides of the bridge, which has recorded the following words: Mart.n consortium Cuc.ti 1778. We find that ""Martin Bunks q. Zuane, ""translated by April 2, 1773, he put in his own company to that of"" Piero, Zuane, and Gregory Abbot, brothers Gradenigo, were de m. Vincenzo proc. ""Two houses"" in Contra of Crose, alli Three Bridges, ""purchased with instrument September 23, 1772, in acts' D. Iseppo Cominciolli Nod. V. 'Like Martin Bunks, lived in the parish of the Cross, son Alvise him, and Alexander, son of Alvise, of which we read in the sanitary Obituaries on January 20, 1790: ""Alisandro q. Alvise Bunks, aged 27 from lymphatic stagnation until early October dalli p. � p. �, died the 6 o'clock position. Medical Rizzo, Chapter S. Cross. """,3.74,4.13,280,FALSE,FALSE,45.4371511,2.78,12.3197042,1,Mattoni,FALSE,2.43,0.44,0,1.69,SC,Primo gradino sud in pietra d'Istria.,1,8,2,9,0,3,3,3,3,,,,0,0,0,Buone,Buone,Buone,Buone,Buone,Mattoni,3,3.22,,0,1.26,1.4,1.61,1.36,1.49,0.82,0.85,1.09,0.85,1,ZIRA1,SC,7.83,37.2,Mattoni,0.63,,19.5,4.7,FALSE,0.55,0.51,0.52,0.49,0.48,10:30,17,15.39,10.69,1,Piena,0,25,1.69,25,0,20
NULL,Ponte Privato (Manifattura Tabacchi),TRUE,272,Santa Croce,Santa Croce,0,36,36,1,ZIRA2_P1,bdb09f9d-19c8-a4fe-6b97-f29de854b3ca,,"Mon, 16 Dec 2013 19:38:39 GMT",0,0,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Non Rilevabile,99,0,0,0,ZIRA2_P1,Rio de Sant'Andrea de la Zirada,9.1,0,99,99,99,99,Non Rilevabile,99,FALSE,,,,Non Rilevabile,0,Non Rilevabile,0,0,0,0,FALSE,0,0,99,0,,0,0,275,FALSE,FALSE,0,0,0,99,Non Rilevabile,FALSE,99,0,0,0,SC,"Non raggiungibile, ponte privato.",1,0,0,0,0,99,0,99,99,,,,1,0,0,Non Rilevabile,,Non Rilevabile,Non Rilevabile,Non Rilevabile,Non Rilevabile,99,0,,0,0,0,0,0,0,0,0,0,0,0,ZIRA2,SC,9.1,0,Non Rilevabile,0,,32,0,TRUE,0,0,0,0,0,,0,0,0,99,Non Rilevabile,0,0,0,0,0,0
NULL,Ponte dei Tre Ponti 2,FALSE,275,Santa Croce,Santa Croce,2.54,36,39,0,3PONTI2,860402d3-513f-02ab-b04f-49867a07618d,,"Mon, 16 Dec 2013 19:38:39 GMT",0,0,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.91,0.89,3,3PONTI2,Rio Novo,8.53,0.53,2,3,19,2,Mattoni e Pietra d'Istria,14,FALSE,,06-Mar-00,,Medie,43.15,Pietra d'Istria,3.47,3.92,3.93,3.92,FALSE,2.87,2.89,2.97,12,,0,10.18,425,FALSE,FALSE,0,6.15,0,8,Asfalto,FALSE,2.87,0.53,0,3.41,SC,,1,0,1,15,0,2,0,0,0,,,,0,0,0.35,Medie,,Pessime,Pessime,Medie,Metallo e Pietra d'Istria,2,2.85,,0,1.41,1.52,1.92,1.49,1.64,0.88,0.88,0.86,0.9,0.92,NOVO2,SC,8.18,45,Asfalto,1.14,,51.5,17.65,FALSE,0.64,0.59,1.06,0.72,0.46,11:05,15,34.8,17.15,8,Vuoto Decorato,0,3,2.87,3,0,0
NULL,Ponte dei Tre Ponti 3,FALSE,276,Santa Croce,Santa Croce,2.85,36,39,0,3PONTI3,6454d5df-afb6-9411-ac4d-e263ac8f17db,,"Mon, 16 Dec 2013 19:38:39 GMT",0,0,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.83,0.89,3,3PONTI3,Rio de Sant'Andrea de la ZiradaRio de le Burchielle,10.3,0.6,2,3,19,0,Mattoni e Pietra d'Istria,14,FALSE,,06-Mar-00,,Pessime,43.29,Pietra d'Istria,3.43,3.94,3.93,3.93,FALSE,2.84,2.76,2.89,10,,8.52,0,389,FALSE,FALSE,0,6.99,0,8,Asfalto,FALSE,2.76,0.6,0,3.37,SC,*,1,14,1,0,0,2,0,0,0,,,,0,0.5,0,Medie,,Pessime,Pessime,Medie,Metallo e Pietra d'Istria,2,3.55,,0,1.49,1.53,1.62,1.61,1.85,0.89,0.88,0.94,0.87,0.86,NOVO1,SC,9.8,46,Asfalto,1.31,,48.3,19.92,FALSE,0.65,0.74,0.68,0.99,0.44,11:30,14,38.28,18.35,8,Vuoto Decorato,0,3,2.85,3,0,0
Point (12.31692179999999937 45.43644890000000203),Ponte Privato della Manifattura Tabacchi,TRUE,278,Santa Croce,Santa Croce,1.71,36,39,0,TABACC,95061e29-6756-178d-b92d-8b0422efa0a6,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4364489,12.3169218,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.6,0.88,4.5,TABACC,Rio de le Burchiele,7.69,0.26,6,2,6,2,Metallo,6,FALSE,,06-Mar-00,,Medie,16.29,Metallo,1.83,3.34,3.3,3.34,FALSE,2.55,2.57,2.67,16,,3.92,4.39,373,FALSE,FALSE,45.4364489,2.08,12.3169218,8,Asfalto,FALSE,2.55,0.18,0,1.74,SC,"Cancello senza battenti. Primo gradino sud in pietra d'Istria e asfalto. Presenza di una scritta nel fianco est: "" De Marco & Gasparini- Venezia""",1,9,2,10,0,1,0,0,0,,,,1,0,0,Cattive,,Pessime,Pessime,Medie,Metallo,2,3.02,,0,1.1,1.18,1.1,1.2,1.12,0.84,0.85,0.92,0.86,0.93,BURC,SC,7.69,37,Asfalto,0.63,,17,3.56,FALSE,0.33,0.34,0.18,0.19,0.43,9:40,19,15.58,12.02,8,Vuoto Geometrico,0,4.5,1.71,4.5,0,0
Point (12.31994639999999919 45.43707710000000333),Ponte dei Tre Ponti 1,FALSE,274,Santa Croce,Dorsoduro,2.87,36,40,0,3PONTI1,0a44d5ce-eb03-9875-b17b-ade69b589b9c,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4370771,12.3199464,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.86,0.89,3,3PONTI1,Rio Novo,10.08,0.59,2,3,19,2,Mattoni e Pietra d'Istria,14,FALSE,,06-Mar-00,,Medie,51.26,Pietra d'Istria,3.47,3.88,3.89,3.87,FALSE,2.89,2.79,2.91,10,,0,9.15,415,FALSE,FALSE,45.4370771,6.67,12.3199464,8,Asfalto,FALSE,2.79,0.26,0,3.41,SC,,1,0,1,15,0,2,0,0,0,,,,0,0,0,Medie,,Pessime,Pessime,Medie,Metallo e Pietra d'Istria,2,3.61,,0,1.45,1.48,1.09,1.56,1.53,0.86,0.86,0.83,0.88,1,BURC,DD,10.08,45,Asfalto,1.29,,64,19.14,FALSE,0.62,0.68,0.26,0.53,0.48,10:45,15,38.52,19.37,8,Vuoto Decorato,0,3,2.87,3,0,0
NULL,Ponte dei Tre Ponti 4,FALSE,277,Santa Croce,Dorsoduro,3,36,40,0,3PONTI4,80f6a86c-2180-3cc5-b2ff-466ddc365307,,"Mon, 16 Dec 2013 19:38:39 GMT",0,0,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Super Ribassato,7,3.88,1.01,15,3PONTI4,Rio Novo,19.65,0.83,13,2,4,0,Legno,4,FALSE,,06-Mar-00,,,65.37,Vuoto,3.29,5.28,5.28,5.28,FALSE,3.88,3.86,3.9,17,,3.78,7.08,428,FALSE,FALSE,0,8.34,0,4,Legno,FALSE,3.86,0.83,0,2.99,SC,Prima rampa sud in trachite e pietra d'Istria con 6 gradini condivisi con il ponte 361.,1,7,2,14,0,3,0,3,3,,,,0,0,0,Buone,,Buone,Buone,Buone,Legno,3,5.09,,0,1.84,1.86,1.92,1.88,1.96,1.01,1.01,1.01,1.01,1.01,MAGA,DD,19.65,47,Legno,1.41,,76.1,25.02,FALSE,0.85,0.87,0.91,0.95,0.46,11:20,21,54.63,29.61,4,Vuoto Geometrico,0,15,3,15,0,0
Point (12.32125139999999952 45.43785969999999708),Ponte dei Tolentini,FALSE,285,Santa Croce,Santa Croce,3.13,37,33,0,TOLENT,e155bda3-51ad-9b0e-86a4-4363f4e78eb9,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4378597,12.3212514,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Policentrico,3,2.31,0.97,27,TOLENT,Rio dei Tolentini e de la Crose,12.14,0.55,2,1,15,4,Mattoni e Pietra d'Istria,14,FALSE,01-Jan-99,06-Mar-00,12 bugne di diamante/ 3scudi,Ottime,43.53,Pietra d'Istria,3.68,3.53,3.53,3.55,FALSE,2.28,2.3,2.35,14,". On the occasion of the famous sack Rome suffered by the arms of Charles V, the Clerics Regular Teatini, the congregation of which had been founded in that city in 1524 by Giovanni Pietro Caraffa, afterwards Paul IV, and S. Cajetan of Thiene, sought shelter in Venice. They lived at first in the hospitable the Incurable, then the Giudecca, then in the abbey of St. Gregory, and finally, obtained in 1528 a chapel, a devout confraternity had made up from 1505 in honor of St. Nicol� da Tolentino in the parish of S. Pantaleon, at the same settled. They s'accinsero in 1591 to extend it, and lift you up following a convent, entrusting both operas architect Scamozzi. The temple, which was built beautiful and grand, was consecrated October 20, 1602 by Matthew Zane patriarch of Venice, under the ancient title of S. Nicholas of Tolentino, in order to corruptly afterwards it was said of the ""Tolentini."" The magnificent vestibule was added by Andrea Tirali on the model of the Temple of Antoninus and Faustina in Rome. Coupling the year 1810 the convent was reduced to barracks, and the church was declared parish, district assegnandovisi for the greater part of the suppressed parish of St. Cross, and some fraction of those of S. Margarita, and S. Pantaleon. Having Francesco Morosini in 1684, the day of St. Gaetano purchased Crowns, it was decreed that the standard two-tailed taken to serraschiere Ottoman Empire was hanging at the altar of that saint in the church of Tolentini. Then succeeded the conquest of all the Morea, Corinth, and Athens, we wanted Yea that same church was visited every year by the Doge and the Signoria, the day of St. Gaetano in gratitude under the auspices of him had begun the favorable progress of the war.",4.85,4.92,382,FALSE,FALSE,45.4378597,3.95,12.3212514,3,Trachite,FALSE,2.28,0.55,0,3.14,SC,,1,10,2,10,0,4,4,4,4,,,,0,0.4,0.4,Ottime,Ottime,Ottime,Ottime,Ottime,"Mattoni, Intonaco e Pietra d'Istria",4,4.97,,0,1.43,1.5,1.66,1.5,1.67,0.88,0.89,1.07,0.9,1.09,TOLE,SC,11.34,42,Trachite,1.31,,48.4,12.36,FALSE,0.61,0.6,0.59,0.58,0.25,12:40,20,38.66,26.29,3,Piena,0,27,3.13,27,0,1
Point (12.31999219999999973 45.43785239999999703),Ponte Papadopoli,FALSE,283,Santa Croce,Santa Croce,5.04,37,36,0,PAPADO,3890d20a-d56d-051e-4e85-f9c013f427df,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4378524,12.3199922,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Policentrico,3,3.79,1.02,22,PAPADO,Rio Novo,20,0.65,2,3,2,4,Legno,4,FALSE,,06-Mar-00,"Leone di San Marco a est e ovest, due teste di leone al centro.",Ottime,213.71,Pietra d'Istria,5.47,5.07,5.01,5.01,FALSE,3.79,3.79,3.78,11,,18.35,17.48,430,FALSE,FALSE,45.4378524,7.48,12.3199922,3,Trachite,FALSE,3.78,0.59,0,5.03,SC,,1,11,2,11,0,4,3,4,4,,,,0,1,1,Ottime,Buone,Ottime,Ottime,Ottime,Pietra d'Istria,4,4.76,,0,1.68,1.61,1.61,1.61,1.61,1.03,1.02,1.02,1.02,1.02,NOVO1,SC,18,150,Trachite,7.56,,223.4,37.7,FALSE,0.59,0.59,0.59,0.59,0.39,11:55,22,204.02,166.32,3,Vuoto Decorato,0,22,5.04,22,0,0
Point (12.31986490000000067 45.43860819999999734),Ponte Secondo S. Chiara,FALSE,282,Santa Croce,Santa Croce,2.95,37,36,0,CHIARA,52378c8d-52c1-f32f-19d1-6267eec9e229,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4386082,12.3198649,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,3.9,1.1,8,CHIARA,Rio Novo,18.35,0.62,2,2,6,4,Metallo,6,FALSE,01-Jan-99,06-Mar-00,,Ottime,79.64,Pietra d'Istria,3.09,5.16,5.16,5.16,FALSE,3.89,3.89,3.91,14.5,,9.23,9.44,427,FALSE,FALSE,45.4386082,6.95,12.3198649,3,Trachite,FALSE,3.89,0.62,0,2.93,SC,,1,18,3,18,0,4,0,4,4,,,,0,0.8,0.8,Ottime,,Ottime,Ottime,Ottime,Metallo,4,4.31,,0,1.72,1.74,1.81,1.74,1.81,1.1,1.1,1.1,1.1,1.1,NOVO1,SC,16.75,40,Trachite,1.18,,96.3,20.5,FALSE,0.64,0.64,0.71,0.71,0.47,11:05,36,62.98,42.48,3,Vuoto Geometrico,0,8,2.95,8,0,1
Point (12.32100029999999968 45.43705080000000152),Ponte dei Squartai,FALSE,360,Santa Croce,Dorsoduro,2.67,37,40,0,SQUART,c4c9342c-35b7-f45c-a58b-d546d18b4a73,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4370508,12.3210003,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Policentrico,3,2.47,0.89,28,SQUART,Rio del Magazen,8,0.49,2,1,14,4,Mattoni e Pietra d'Istria,14,FALSE,01-Jan-91,06-Mar-00,,Ottime,33.12,Pietra d'Istria,3.26,3.84,3.8,3.93,FALSE,2.34,2.54,2.53,14.4,"�ai Tolentini. In the absolute lack of historical memories could be used here to the assumption that they had been put into quarters the bodies of some criminals, or that here we were hanging the quarter after the execution of the same, as in ancient times praticavasi general terror. This second opinion cometh the Pull� in his notes to ""Songs of the People Veneziano"" of Foscarini.",5.76,4.34,348,FALSE,FALSE,45.4370508,2.96,12.3210003,3,Trachite,FALSE,2.34,0.46,0,2.7,SC,"Targa: ""Comune di Venezia, restaurato 1991"".",1,12,2,9,0,4,0,4,4,,,,0,0.35,0,Ottime,,Ottime,Ottime,Ottime,Mattoni e Pietra d'Istria,4,3.27,,0,1.29,1.44,1.59,1.37,1.48,0.8,0.82,0.97,0.82,1.02,TOLE,DD,7.65,40,Trachite,1.07,,35.8,8.02,FALSE,0.62,0.55,0.62,0.46,-0.02,13:55,21,30.45,22.43,3,Piena,0,28,2.71,28,0,9
Point (12.32022880000000065 45.43708790000000164),Ponte Zuccato,FALSE,361,Santa Croce,Dorsoduro,1.86,37,40,0,ZUCCAT,5daaa10e-be20-7357-829a-67755b64bcd5,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4370879,12.3202288,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,3.12,1.08,14,ZUCCAT,Rio del Magazen,9.37,0.51,13,2,4,0,Legno e Metallo,17,FALSE,,06-Mar-00,,,32.45,Vuoto,2.14,4.37,4.36,4.35,FALSE,3.1,3.08,3.17,15.5,,6.33,3.43,398,FALSE,FALSE,45.4370879,3.38,12.3202288,4,Legno,FALSE,3.08,0.51,0,1.86,SC,Primi 6 gradini Nord in trachite. La prima rampa a Sud comincia dalla prima rampa in trchite e pietra d'Istria del ponte 277.,1,14,2,7,0,3,0,3,3,,,,0,0,0,Buone,,Buone,Buone,Buone,Legno,3,3.04,,0,1.61,1.67,1.68,1.68,1.68,1.1,1.1,1.06,1.1,1.06,MAGA,DD,9.37,41.5,Legno,0.77,,42.4,6.29,FALSE,0.57,0.58,0.62,0.62,0.41,11:40,21,22.5,16.21,4,Vuoto Geometrico,0,14,1.86,14,0,0
Point (12.31584349999999972 45.43278660000000002),Ponte S. Nicolo,FALSE,365,Dorsoduro,Dorsoduro,3.7,38,45,0,NICOLO,98597f5f-1b6a-168c-e9ca-d62a416fb9a5,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4327866,12.3158435,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.55,0.85,5,NICOLO,Rio de S. Nicol� dei Mendicoli,7.78,0.5,2,2,19,1,"Mattoni, Intonaco e Pietra d'Istria",15,FALSE,,04-Mar-00,4 mascheroni + 3 scudi,Cattive,51.83,Pietra d'Istria,4.4,3.4,3.37,3.37,FALSE,2.51,2.48,2.65,15,"�Santa Fosca. This bridge, after its renovation, was opened to the public April 16, 1870, while, until March 4, prior to deliberation Hall, is way change the name of ""Noal,"" which brought up from the most ancient times, that of "" Nicholas Pasqualigo. "" For Pasqualigo Nicholas, who died in 1821 as a division commander in the naval service of Austria, see the brochure of the Stork with the title: ""Famous people of the Venetian patrician people Pasqualigo. Venice, Picotti, 1822. "" Not Havva no evidence, however, that he lived at this bridge, and indeed it is known that he ended his days in a house located not far from the ""Ponte dei Barcaroli."" What if our City Council had in mind, with the new cangiamento, to awaken in the minds the remembrance of some home glory, well other heroes larger than Pasqualigo present the Venetian splendor, even though the Pasqualigo has left the reputation of valiant military. Neither the name of the family Noal, contraddistinguevasi waves before the bridge is dark for sure, as shall see in the article and subsequent as well remarked about the ""Gazzetta di Venezia� March 5, 1870.",5.65,5.05,349,FALSE,FALSE,45.4327866,2.7,12.3158435,8,Asfalto,FALSE,2.48,0.5,0,4.3,DD,Vegetazione sui muri andatori.,1,11,2,10,0,1,2,0,0,,,,0,0.25,0.25,Cattive,Medie,Pessime,Pessime,Cattive,Metallo e Pietra d'Istria,1,2.94,,0,1.27,1.38,1.53,1.41,1.51,0.77,0.82,0.92,0.81,0.95,NICO1,DD,7.28,45,Asfalto,1.67,,58.7,9.99,FALSE,0.56,0.6,0.61,0.56,0.52,9:30,21,44.96,34.97,8,Vuoto Geometrico,0,5,3.7,5,0,0
Point (12.31622169999999983 45.43510469999999657),Ponte Privato (Insula S.p.A.),TRUE,362,Santa Croce,Dorsoduro,4.55,39,38,0,MART4_P1,8efd07ac-58fc-877e-52cd-5c290fc9fdb9,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4351047,12.3162217,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Policentrico,3,2.67,0.91,33,MART4_P1,Rio de l'Arzere e de S. Marta,19.2,1.04,10,1,9,2,Cemento Armato,9,FALSE,,04-Mar-00,,Medie,117.96,Calcestruzzo,5.5,4.21,4.16,4.2,FALSE,2.64,2.68,2.69,16,,3.33,2.26,429,FALSE,FALSE,45.4351047,19.5,12.3162217,10,Calcestruzzo,FALSE,2.64,1.04,0,4.84,SC,Cancello a Sud,1,8,2,5,0,2,0,2,1,,,,1,0,0,Medie,,Medie,Cattive,Cattive,Cemento Armato,1,7.27,,0,1.95,1.95,1.95,1.95,1.95,0.91,0.91,0.91,0.91,0.91,ARZE4,DD,19.2,36,Cemento Armato,1.64,,125.9,88.73,FALSE,1.04,1.04,1.04,1.04,0.43,10:55,13,110.02,21.29,9,Piena,0,33,4.55,33,0,0
Point (12.32019520000000057 45.43603130000000334),Ponte de la Cazziola,FALSE,280,Santa Croce,Santa Croce,3.3,39,42,0,CAZZIOL,e2c001eb-73d4-ab93-eb16-eabbc0a7e9be,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4360313,12.3201952,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Acuto,4,2.21,0.87,3,CAZZIOL,Rio de la Cazziola e de Ca' Rizzi,9.1,0.36,2,2,19,2,Pietra d'Istria,2,FALSE,,04-Mar-00,,Medie,42.33,Pietra d'Istria,4.1,3.8,3.77,3.77,FALSE,2.16,2.15,2.31,11,"to S. Maria Maggiore. It is found that in the parish of the Cross, to which they were subject these streets, lived a family Cazziola towards the end of the fifteenth century. Some individuals of it, as appears from the Mariegole of Great Schools, practiced the art of wool.",4.68,4.66,374,FALSE,FALSE,45.4360313,3,12.3201952,8,Asfalto,FALSE,2.15,0.36,0,4.04,SC,,1,8,2,9,0,1,0,1,1,,,,0,0.5,0.5,Cattive,,Cattive,Cattive,Medie,Metallo e Pietra d'Istria,2,3.77,,0,1.23,1.35,1.53,1.36,1.67,0.87,0.87,0.87,0.87,0.89,TREP2,SC,8.1,50,Asfalto,1.65,,46.7,9.9,FALSE,0.48,0.49,0.66,0.78,-0.26,15:30,17,37.95,28.05,8,Vuoto Geometrico,0,3,3.3,3,0,0
Point (12.31730179999999919 45.43489199999999784),Ponte S. Maria Maggior,FALSE,368,Santa Croce,Dorsoduro,2.75,39,44,0,SMMAGG,c2ce180d-832f-8039-d3a4-b7ae8a47f2fa,,"Mon, 16 Dec 2013 19:38:39 GMT",45.434892,12.3173018,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Acuto,4,4.14,0.86,4,SMMAGG,Rio de S. Maria Maggior,13.03,0.63,2,3,19,1,Mattoni e Pietra d'Istria,14,FALSE,,04-Mar-00,3 scudi armilla Est + 12 bugne di diamante,Cattive,54.02,Pietra d'Istria,3.5,5.17,5.14,5.14,FALSE,4.11,4.13,4.17,15,,7.68,7.85,370,FALSE,FALSE,45.434892,3.43,12.3173018,8,Asfalto,FALSE,4.11,0.63,0,3.42,SC,,1,13,2,13,0,2,1,0,0,,,,0,1.6,1.6,Medie,Cattive,Pessime,Pessime,Buone,Metallo e Pietra d'Istria,3,2.39,,0,1.46,1.49,1.68,1.47,1.65,0.83,0.85,0.87,0.84,0.9,MAGG2,DD,9.83,47,Asfalto,1.29,,65,9.43,FALSE,0.64,0.63,0.81,0.75,0.46,10:40,26,43.04,33.61,8,Vuoto Decorato,0,4,2.75,4,0,0
Point (12.32053160000000069 45.4362692999999993),Ponte de la Ceraria,FALSE,357,Dorsoduro,Dorsoduro,3.78,40,43,0,CERARIA,e1f31526-4f7d-47e5-796a-4d108b19985a,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4362693,12.3205316,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Policentrico,3,3.82,0.9,32,CERARIA,Rio Novo,16.39,0.51,2,3,2,2,Pietra d'Istria,2,FALSE,,04-Mar-00,,Medie,93.85,Pietra d'Istria,4.4,5.47,5.48,5.48,FALSE,3.82,3.82,3.82,11,,8.58,8.35,421,FALSE,FALSE,45.4362693,7.05,12.3205316,8,Asfalto,FALSE,3.82,0.51,0,3.76,DD,,1,18,2,18,0,3,0,1,1,,,,0,1.2,1.2,Buone,,Cattive,Cattive,Buone,Pietra d'Istria,3,3.66,,0,1.41,1.42,1.5,1.42,1.49,0.9,0.9,0.9,0.9,0.9,NOVO4,DD,13.99,42,Asfalto,1.59,,103.9,26.65,FALSE,0.52,0.52,0.6,0.59,-0.24,15:00,36,83.8,57.15,8,Vuoto Decorato,0,32,3.78,32,0,0
Point (12.32157029999999942 45.43574310000000338),Ponte de la Sbiaca,FALSE,356,Dorsoduro,Dorsoduro,3.8,40,43,0,SBIACA,0abc92b6-e182-7e1a-2697-918a1fecdedd,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4357431,12.3215703,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Policentrico,3,3.85,0.98,23,SBIACA,Rio Novo,14.64,0.49,2,3,2,3,Pietra d'Istria,2,FALSE,,04-Mar-00,,Buone,88.61,Pietra d'Istria,4.5,5.52,5.54,5.54,FALSE,3.85,3.85,3.85,11,,8.35,8.9,422,FALSE,FALSE,45.4357431,6.2,12.3215703,8,Asfalto,FALSE,3.85,0.49,0,4.04,DD,,1,19,2,18,0,3,0,2,1,,,,0,0.4,0.4,Buone,,Medie,Cattive,Buone,Pietra d'Istria,3,3.59,,0,1.47,1.49,1.55,1.49,1.58,0.98,0.98,0.98,0.98,0.98,NOVO4,DD,13.84,42,Asfalto,1.6,,94.6,23.56,FALSE,0.51,0.51,0.57,0.6,-0.2,14:40,37,82.61,59.05,8,Vuoto Decorato,0,23,3.8,23,0,0
